[2025-11-16 21:53:46] DEF        | Yes\                           | AYE; CHA; CHYA; CHYEA; HAI; HY; JA; JAWOHL; MHMM; Y/N; Y/Y; YA; YAR; YAS; YE;...
[2025-11-16 21:53:50] DEF        | Yes                            | AYE; CHA; CHYA; CHYEA; HAI; HY; JA; JAWOHL; MHMM; Y/N; Y/Y; YA; YAR; YAS; YE;...
[2025-11-16 21:53:54] DEF        | Man                            | +_+; BEAR; BHM; BLOKE; BM; BMOC; BREDA; BUL; CHAP; COUGAR; COUGER; DMW; DMX; ...
[2025-11-16 21:54:13] SLANG      | Yolo                           | NOT FOUND
[2025-11-16 21:54:16] SLANG      | YOLO                           | You Only Live Once
[2025-11-16 21:54:27] SLANG      | YOLO                           | You Only Live Once
[2025-11-16 21:54:32] SLANG      | YAS                            | Emphatic Yes; You are Sexy
[2025-11-16 21:54:36] DEF        | name                           | BNF; BNOC; BUBZ; CINO; DNS; DUDE; FQDN; IGN; N3; NASL; NEE; NMN; NTT; PEANUT;...
[2025-11-16 21:55:19] SLANG      | Nam                            | NOT FOUND
[2025-11-16 22:07:23] SLANG      | Nam                            | NOT FOUND
[2025-11-17 17:53:25] SLANG      | YOLO                           | You Only Live Once
[2025-11-17 22:42:17] SLANG      | Nam                            | kkkk
[2025-11-17 22:43:30] SLANG      | YOLO                           | You Only Live Once
[2025-11-17 22:43:37] DEF        | Man                            | +_+; BEAR; BHM; BLOKE; BM; BMOC; BREDA; BUL; CHAP; COUGAR; COUGER; DMW; DMX; ...
[2025-11-17 22:43:58] SLANG      | GOAT                           | Greatest Of All Time; Messi
[2025-11-17 22:44:05] SLANG      | GOAT                           | Messi
[2025-11-17 22:44:18] SLANG      | GOAT                           | NOT FOUND
[2025-11-17 22:44:19] SLANG      | GOAT                           | NOT FOUND
[2025-11-17 22:44:24] SLANG      | GOAT                           | Greatest Of All Time
